date,mango,apple,orange,tomato,potato,carrot
2022-08-19 10:10:56.335322,54.98,71.11,40.47,33.45,26.44,32.87
2022-08-20 10:10:56.335322,78.03,92.51,39.88,35.93,31.11,34.47
2022-08-21 10:10:56.335322,69.28,112.38,66.25,25.01,30.2,42.09
2022-08-22 10:10:56.335322,63.95,103.93,39.98,32.5,18.08,31.8
2022-08-23 10:10:56.335322,46.24,108.39,40.88,31.43,17.98,42.39
2022-08-24 10:10:56.335322,46.24,99.53,60.38,36.66,20.36,26.76
2022-08-25 10:10:56.335322,42.32,101.54,47.99,38.12,22.22,40.54
2022-08-26 10:10:56.335322,74.65,110.95,61.07,20.24,23.17,41.95
2022-08-27 10:10:56.335322,64.04,74.98,32.61,33.48,28.59,28.64
2022-08-28 10:10:56.335322,68.32,89.37,49.5,21.04,16.13,33.61
2022-08-29 10:10:56.335322,40.82,73.27,31.34,30.98,15.69,28.31
2022-08-30 10:10:56.335322,78.8,119.26,32.51,25.75,22.84,39.13
2022-08-31 10:10:56.335322,73.3,116.64,66.26,26.14,28.94,35.71
2022-09-01 10:10:56.335322,48.49,62.37,35.57,27.06,18.87,37.71
2022-09-02 10:10:56.335322,47.27,102.33,51.3,32.43,27.83,28.93
2022-09-03 10:10:56.335322,47.34,115.51,46.44,26.68,20.2,29.23
2022-09-04 10:10:56.335322,52.17,70.83,43.89,34.65,32.72,25.83
2022-09-05 10:10:56.335322,60.99,94.08,65.99,28.09,32.91,31.44
2022-09-06 10:10:56.335322,57.28,114.93,30.87,21.37,20.95,36.19
2022-09-07 10:10:56.335322,51.65,62.04,56.55,35.68,19.6,42.16
2022-09-08 10:10:56.335322,64.47,101.85,68.54,25.72,23.23,38.34
2022-09-09 10:10:56.335322,45.58,77.84,52.41,28.66,19.81,33.71
2022-09-10 10:10:56.335322,51.69,115.46,67.47,33.71,28.45,44.06
2022-09-11 10:10:56.335322,54.65,118.26,32.09,26.65,31.52,39.38
2022-09-12 10:10:56.335322,58.24,116.66,46.75,21.13,28.46,43.6
2022-09-13 10:10:56.335322,71.41,88.45,40.41,27.48,31.49,35.55
2022-09-14 10:10:56.335322,47.99,111.72,59.23,38.89,22.94,30.18
2022-09-15 10:10:56.335322,60.57,110.67,69.25,32.83,18.13,26.06
2022-09-16 10:10:56.335322,63.7,79.15,40.26,33.43,29.76,39.52
2022-09-17 10:10:56.335322,41.86,109.73,56.17,32.65,22.21,27.43
2022-09-18 10:10:56.335322,64.3,62.22,37.92,23.98,28.43,31.06
2022-09-19 10:10:56.335322,46.82,95.78,52.61,28.37,20.41,35.65
2022-09-20 10:10:56.335322,42.6,73.8,48.56,35.02,16.62,36.29
2022-09-21 10:10:56.335322,77.96,67.23,68.88,22.03,34.85,37.01
2022-09-22 10:10:56.335322,78.63,64.62,54.34,25.56,18.12,28.33
2022-09-23 10:10:56.335322,72.34,101.78,43.98,25.53,34.77,32.59
2022-09-24 10:10:56.335322,52.18,80.39,34.56,28.64,34.55,37.34
2022-09-25 10:10:56.335322,43.91,103.49,36.05,39.61,30.88,44.4
2022-09-26 10:10:56.335322,67.37,63.92,39.01,21.35,28.19,39.55
2022-09-27 10:10:56.335322,57.61,78.92,40.04,30.37,26.56,43.45
2022-09-28 10:10:56.335322,44.88,92.37,64.02,23.59,32.32,40.24
2022-09-29 10:10:56.335322,59.81,107.44,52.45,39.41,20.79,36.83
2022-09-30 10:10:56.335322,41.38,79.13,50.94,22.27,24.35,28.84
2022-10-01 10:10:56.335322,76.37,97.55,34.59,28.07,27.39,38.33
2022-10-02 10:10:56.335322,50.35,113.16,64.41,34.76,23.22,37.47
2022-10-03 10:10:56.335322,66.5,96.95,58.91,34.09,23.55,37.05
2022-10-04 10:10:56.335322,52.47,73.98,32.71,28.45,21.61,34.8
2022-10-05 10:10:56.335322,60.8,61.46,58.31,26.93,26.28,35.57
2022-10-06 10:10:56.335322,61.87,112.21,51.74,27.95,32.01,31.69
2022-10-07 10:10:56.335322,47.39,61.28,33.27,25.29,19.03,35.39
2022-10-08 10:10:56.335322,78.78,112.48,48.33,24.11,33.69,28.95
2022-10-09 10:10:56.335322,71.01,91.74,49.39,29.66,28.78,41.1
2022-10-10 10:10:56.335322,77.58,116.34,36.63,25.37,31.47,28.72
2022-10-11 10:10:56.335322,75.79,107.93,67.83,25.75,26.12,26.7
2022-10-12 10:10:56.335322,63.92,119.88,64.0,33.14,30.59,33.72
2022-10-13 10:10:56.335322,76.87,81.04,56.76,39.37,15.32,38.17
2022-10-14 10:10:56.335322,43.54,106.03,48.49,32.07,31.37,33.75
2022-10-15 10:10:56.335322,47.84,84.12,46.47,21.54,15.8,30.54
2022-10-16 10:10:56.335322,41.81,88.79,56.04,21.51,32.8,36.16
2022-10-17 10:10:56.335322,53.01,97.65,51.82,39.03,34.84,31.94
2022-10-18 10:10:56.335322,55.55,112.42,32.49,25.95,20.88,43.66
2022-10-19 10:10:56.335322,50.85,119.05,50.5,21.84,19.21,43.45
2022-10-20 10:10:56.335322,73.15,106.1,62.26,31.98,30.31,35.05
2022-10-21 10:10:56.335322,54.27,85.07,48.37,32.47,20.06,31.56
2022-10-22 10:10:56.335322,51.24,85.28,32.08,32.97,32.31,39.74
2022-10-23 10:10:56.335322,61.71,104.25,61.45,25.35,17.06,25.73
2022-10-24 10:10:56.335322,45.64,74.33,38.05,20.3,17.52,34.5
2022-10-25 10:10:56.335322,72.09,66.63,40.34,39.3,34.58,31.73
2022-10-26 10:10:56.335322,42.98,81.28,36.59,25.02,28.48,43.41
2022-10-27 10:10:56.335322,79.48,77.23,43.21,33.52,31.94,25.24
2022-10-28 10:10:56.335322,70.89,77.78,60.27,34.13,21.49,36.06
2022-10-29 10:10:56.335322,47.95,74.02,50.78,32.2,28.53,39.81
2022-10-30 10:10:56.335322,40.22,62.53,38.2,26.26,26.88,34.7
2022-10-31 10:10:56.335322,72.62,61.07,65.11,25.42,27.06,26.71
2022-11-01 10:10:56.335322,68.27,119.26,65.18,31.95,28.65,44.45
2022-11-02 10:10:56.335322,69.16,85.67,64.82,37.32,26.51,35.36
2022-11-03 10:10:56.335322,70.85,83.06,39.55,38.93,23.58,37.28
2022-11-04 10:10:56.335322,42.96,100.78,48.05,22.12,20.52,29.73
2022-11-05 10:10:56.335322,54.34,73.1,69.4,23.1,30.37,34.67
2022-11-06 10:10:56.335322,44.63,117.0,60.88,38.89,19.53,33.58
2022-11-07 10:10:56.335322,74.52,107.18,31.09,34.73,28.85,26.5
2022-11-08 10:10:56.335322,64.93,65.36,32.61,37.66,19.67,27.12
2022-11-09 10:10:56.335322,53.24,85.05,48.56,24.05,27.51,41.75
2022-11-10 10:10:56.335322,42.54,112.75,66.37,31.75,29.94,29.8
2022-11-11 10:10:56.335322,52.44,116.68,51.55,34.02,19.37,28.9
2022-11-12 10:10:56.335322,53.01,88.04,49.91,33.6,16.2,35.1
2022-11-13 10:10:56.335322,69.18,96.8,34.22,28.16,17.62,40.37
2022-11-14 10:10:56.335322,65.5,70.02,56.27,20.31,27.12,26.24
2022-11-15 10:10:56.335322,75.49,119.47,62.88,31.66,31.99,36.54
2022-11-16 10:10:56.335322,58.89,73.9,45.22,25.06,15.9,27.38
2022-11-17 10:10:56.335322,44.78,116.56,61.02,29.01,29.68,25.73
2022-11-18 10:10:56.335322,68.53,98.98,68.58,39.15,21.83,26.05
2022-11-19 10:10:56.335322,70.43,96.46,38.15,27.98,24.57,41.68
2022-11-20 10:10:56.335322,62.45,90.76,50.93,36.8,33.58,27.36
2022-11-21 10:10:56.335322,70.84,73.84,41.49,23.77,21.64,25.9
